Depth 1988-10-21 1988-11-24 1988-12-18 1989-01-27 1989-02-18 1989-03-27 1989-04-16 1989-05-16 1989-06-21 1989-07-19 1989-08-15 1989-10-20 1989-11-28 1989-12-20 1990-01-16 1990-02-15 1990-03-15 1990-04-19 1990-05-09 1990-06-22 1990-07-17 1990-08-14 1990-09-11 1990-10-15 1990-11-06 1990-12-04 1991-01-15 1991-02-14 1991-03-14 1991-04-16 1991-05-14 1991-06-19 1991-07-17 1991-08-13 1991-09-14 1991-10-08 1991-11-13 1991-12-10 1992-01-10 1992-02-14 1992-03-09 1992-04-21 1992-05-19 1992-06-17 1992-07-13 1992-08-20 1992-09-15 1992-10-15 1992-11-13 1992-12-09 1993-01-13 1993-02-12 1993-03-12 1993-04-16 1993-05-10 1993-06-14 1993-07-13 1993-08-18 1993-09-17 1993-10-12 1993-11-09 1993-12-07 1994-01-12 1994-02-19 1994-03-15 1994-04-19 1994-05-17 1994-06-14 1994-07-19 1994-08-16 1994-09-21 1994-10-19 1994-11-14 1994-12-10 1995-01-13 1995-02-15 1995-03-17 1995-04-12 1995-05-12 1995-06-14 1995-07-11 1995-08-18 1995-09-14 1995-10-11 1995-11-12 1995-12-15 1996-01-31 1996-02-15 1996-03-15 1996-04-09 1996-05-06 1996-06-10 1996-07-11 1996-08-05 1996-09-06 1996-10-09 1996-11-05 1996-12-14 1997-01-15 1997-02-08 1997-03-07 1997-04-09 1997-05-08 1997-06-12 1997-07-17 1997-08-13 1997-09-13 1997-10-09 1997-11-13 1997-12-10 1998-01-15 1998-02-13 1998-03-13 1998-04-08 1998-05-07 1998-06-03 1998-07-08 1998-08-12 1998-09-11 1998-10-23 1998-11-18 1998-12-11 1999-01-16 1999-02-12 1999-03-24 1999-04-08 1999-05-05 1999-06-02 1999-07-09 1999-08-04 1999-09-16 1999-10-13 1999-11-10 1999-12-10 2000-02-01 2000-02-18 2000-03-14 2000-04-10 2000-05-10 2000-06-06 2000-07-11 2000-08-08 2000-09-11 2000-10-18 2000-11-14 2000-12-13 2001-01-31 2001-02-21 2001-03-21 2001-04-21 2001-05-18 2001-06-05 2001-07-19 2001-08-07 2001-09-12 2001-10-10 2001-11-10 2001-12-12 2002-02-28 2002-03-20 2002-04-20 2002-05-15 2002-06-06 2002-07-03 2002-08-21 2002-09-18 2002-10-08 2002-11-14 2002-12-11 2003-02-05 2003-02-22 2003-03-22 2003-04-22 2003-05-20 2003-07-05 2003-07-16 2003-08-12 2003-09-20 2003-10-07 2003-11-04 2003-12-03 2004-01-27 2004-02-24 2004-03-22 2004-04-20 2004-05-17 2004-06-15 2004-07-14 2004-08-16 2004-09-15 2004-10-14 2004-11-12 2004-12-09 2005-01-28 2005-02-05 2005-03-22 2005-04-19 2005-05-18 2005-06-14 2005-07-22 2005-08-10 2005-09-06 2005-10-11 2005-11-27 2005-12-11 2006-01-29 2006-02-22 2006-04-06 2006-05-09 2006-06-27 2006-07-19 2006-08-10 2006-09-07 2006-10-10 2006-11-06 2006-12-05 2007-02-01 2007-02-22 2007-03-21 2007-04-15 2007-05-17 2007-06-21 2007-07-21 2007-08-13 2007-09-06 2007-10-05 2007-11-13 2007-12-06 2008-01-15 2008-02-13 2008-03-13 2008-04-15 2008-05-30 2008-06-23 2008-07-17 2008-08-11 2008-09-12 2008-10-08 2008-11-09 2008-12-17 2009-02-09 2009-03-19 2009-04-16 2009-05-17 2009-06-13 2009-08-17 2009-09-11 2009-10-09 2009-11-07 2009-12-09 2010-02-03 2010-02-25 2010-03-24 2010-04-21 2010-05-16 2010-06-22 2010-07-26 2010-08-22 2010-09-05 2010-10-08 2010-11-11 2010-12-10 2011-02-24 2011-03-26 2011-05-04 2011-05-19 2011-06-16 mean
460 36.414 36.382 36.245 36.347 36.423 36.432 36.261 36.192 NA 36.318 36.264 36.409 36.428 36.2 36.286 36.223 NA 36.436 36.231 36.366 36.363 36.311 36.364 36.378 36.382 36.315 36.458 36.462 36.338 36.523 36.134 NA 36.371 36.354 36.383 36.325 36.234 36.37 36.388 36.27 36.283 36.379 36.516 36.309 36.196 36.375 36.444 36.32 36.447 36.274 36.169 36.352 36.418 36.431 36.446 36.391 36.327 36.249 36.408 36.401 36.174 36.24 36.3 36.394 36.545 36.459 36.349 36.386 36.306 36.271 36.483 36.372 36.267 36.358 36.362 36.427 36.485 36.41 36.412 36.493 36.522 36.389 36.419 36.543 36.491 36.443 36.416 36.376 36.36 36.302 36.379 36.458 36.468 36.382 36.282 36.447 36.497 36.49 36.328 36.297 36.314 36.408 36.496 36.44 36.429 36.452 36.469 36.568 36.414 36.549 36.426 36.361 36.391 36.445 36.376 36.341 36.352 36.376 36.47 36.402 36.344 36.307 36.088 36.423 36.39 36.427 36.3 36.373 36.259 36.336 36.431 36.423 36.444 36.442 36.456 36.421 36.404 36.281 36.454 36.389 36.466 36.42 36.416 36.419 36.332 36.388 36.322 36.285 36.324 36.199 36.404 36.429 36.461 36.325 36.452 36.404 36.391 36.497 36.402 36.398 36.455 36.467 36.495 36.421 36.446 36.465 36.435 36.447 36.445 36.412 36.417 36.324 36.359 36.402 36.248 36.199 36.415 36.381 36.388 36.423 36.239 36.348 36.355 36.522 36.44 36.308 36.288 36.408 36.488 36.251 36.227 36.361 36.384 36.37 36.396 36.381 36.366 36.429 36.475 36.46 36.45 36.384 36.382 36.462 36.423 36.422 36.328 36.346 36.46 36.279 36.202 36.329 36.34 36.374 36.449 36.418 36.38 36.271 36.186 36.329 36.515 36.491 36.452 36.407 36.535 36.535 36.425 36.405 36.456 36.346 36.374 36.461 36.324 36.108 36.394 36.353 36.284 36.348 36.445 36.47 36.371 36.437 36.466 36.528 36.424 36.531 36.325 36.503 36.525 36.446 36.463 36.452 36.503 36.267 36.277 36.273 36.329 36.398 36.369 36.375 36.42 36.429 36.468 36.473 36.381 36.371 36.426 36.383
470 36.408 36.367 36.218 36.319 36.413 36.423 36.232 36.154 NA 36.291 36.242 36.401 36.419 36.178 36.259 36.201 NA 36.424 36.201 36.353 36.342 36.291 36.346 36.359 36.359 36.288 36.439 36.443 36.318 36.519 36.111 NA 36.342 36.33 36.361 36.311 36.218 36.352 36.371 36.243 36.261 36.357 36.501 36.281 36.17 36.357 36.416 36.299 36.419 36.249 36.149 36.332 36.4 36.405 36.434 36.361 36.292 36.227 36.385 36.382 36.15 36.213 36.272 36.367 36.538 36.441 36.322 36.362 36.278 36.245 36.469 36.343 36.249 36.331 36.34 36.411 36.476 36.384 36.396 36.484 36.518 36.367 36.4 36.542 36.481 36.419 36.406 36.353 36.331 36.283 36.354 36.427 36.471 36.354 36.263 36.423 36.486 36.474 36.303 36.256 36.292 36.382 36.487 36.423 36.407 36.438 36.454 36.568 36.393 36.547 36.409 36.338 36.373 36.424 36.357 36.316 36.326 36.351 36.455 36.377 36.327 36.285 36.065 36.4 36.364 36.411 36.272 36.351 36.231 36.309 36.417 36.404 36.428 36.424 36.442 36.397 36.376 36.265 36.439 36.373 36.447 36.403 36.398 36.405 36.311 36.365 36.3 36.264 36.304 36.171 36.39 36.411 36.45 36.301 36.46 36.401 36.379 36.493 36.391 36.371 36.448 36.461 36.492 36.408 36.433 36.453 36.424 36.438 36.434 36.399 36.404 36.285 36.335 36.387 36.228 36.172 36.399 36.367 36.369 36.407 36.223 36.316 36.333 36.511 36.428 36.285 36.264 36.392 36.468 36.224 36.196 36.336 36.36 36.35 36.377 36.357 36.343 36.398 36.457 36.435 36.421 36.362 36.355 36.438 36.394 36.392 36.295 36.326 36.438 36.254 36.178 36.306 36.312 36.348 36.423 36.398 36.356 36.243 36.154 36.306 36.499 36.469 36.427 36.384 36.53 36.527 36.41 36.385 36.433 36.314 36.351 36.445 36.295 36.082 36.374 36.344 36.281 36.321 36.429 36.453 36.344 36.421 36.453 36.52 36.407 36.522 36.307 36.491 36.518 36.427 36.449 36.43 36.496 36.242 36.248 36.245 36.305 36.373 36.344 36.363 36.399 36.415 36.455 36.456 36.362 36.346 36.405 36.364
480 36.387 36.334 36.188 36.303 36.401 36.411 36.201 36.128 NA 36.268 36.219 36.391 36.41 36.157 36.227 36.178 NA 36.403 36.168 36.337 36.323 36.275 36.327 36.339 36.337 36.266 36.423 36.427 36.294 36.513 36.09 NA 36.321 36.302 36.338 36.287 36.195 36.331 36.356 36.218 36.236 36.335 36.481 36.254 36.151 36.338 36.377 36.267 36.397 36.218 36.132 36.31 36.374 36.383 36.414 36.328 36.264 36.204 36.361 36.353 36.125 36.191 36.236 36.336 36.532 36.422 36.297 36.339 36.253 36.227 36.454 36.319 36.227 36.308 36.313 36.394 36.453 36.358 36.378 36.47 36.51 36.347 36.379 36.539 36.477 36.405 36.378 36.332 36.317 36.261 36.333 36.407 36.432 36.328 36.24 36.395 36.471 36.458 36.278 36.236 36.27 36.365 36.48 36.401 36.385 36.419 36.437 36.566 36.361 36.54 36.388 36.316 36.336 36.399 36.336 36.297 36.305 36.331 36.44 36.359 36.303 36.263 36.031 36.38 36.344 36.392 36.253 36.329 36.206 36.286 36.404 36.381 36.406 36.405 36.424 36.372 36.355 36.237 36.422 36.351 36.424 36.388 36.379 36.394 36.291 36.339 36.266 36.238 36.279 36.139 36.364 36.391 36.442 36.274 36.459 36.442 36.347 36.488 36.382 36.337 36.438 36.455 36.49 36.395 36.419 36.441 36.412 36.432 36.427 36.386 36.391 36.26 36.312 36.372 36.199 36.146 36.38 36.348 36.352 36.386 36.199 36.299 36.309 36.501 36.413 36.262 36.245 36.368 36.449 36.199 36.169 36.309 36.333 36.331 36.355 36.339 36.322 36.371 36.437 36.406 36.394 36.339 36.332 36.408 36.362 36.361 36.267 36.296 36.408 36.232 36.155 36.279 36.285 36.32 36.403 36.374 36.328 36.218 36.123 36.281 36.476 36.447 36.392 36.357 36.522 36.521 36.39 36.356 36.415 36.277 36.325 36.43 36.269 36.052 36.352 36.334 36.278 36.29 36.409 36.436 36.309 36.401 36.44 36.508 36.391 36.51 36.283 36.482 36.509 36.404 36.426 36.412 36.48 36.218 36.217 36.212 36.279 36.349 36.319 36.349 36.386 36.393 36.442 36.439 36.334 36.322 36.386 36.343
490 36.343 36.308 36.16 36.273 36.389 36.403 36.171 36.108 NA 36.241 36.196 36.378 36.397 36.132 36.203 36.15 NA 36.374 36.142 36.308 36.304 36.254 36.304 36.316 36.316 36.246 36.396 36.412 36.273 36.505 36.066 NA 36.299 36.275 36.308 36.263 36.161 36.316 36.339 36.19 36.215 36.322 36.465 36.223 36.121 36.314 36.355 36.227 36.376 36.191 36.11 36.287 36.349 36.358 36.39 36.302 36.242 36.178 36.339 36.33 36.095 36.163 36.209 36.306 36.528 36.406 36.272 36.311 36.229 36.194 36.44 36.285 36.205 36.277 36.283 36.373 36.432 36.338 36.355 36.454 36.506 36.321 36.357 36.535 36.468 36.377 36.355 36.308 36.288 36.236 36.31 36.38 36.381 36.303 36.215 36.371 36.453 36.442 36.25 36.215 36.257 36.34 36.461 36.376 36.371 36.392 36.422 36.565 36.346 36.53 36.365 36.283 36.319 36.375 36.323 36.275 36.283 36.309 36.416 36.338 36.28 36.24 36.003 36.35 36.321 36.379 36.243 36.307 36.181 36.263 36.37 36.358 36.389 36.384 36.41 36.36 36.33 36.212 36.406 36.325 36.398 36.37 36.355 36.376 36.262 36.316 36.237 36.213 36.246 36.112 36.338 36.37 36.43 36.258 36.451 36.441 36.32 36.487 36.354 36.309 36.43 36.451 36.487 36.373 36.404 36.428 36.4 36.423 36.421 36.37 36.375 36.225 36.275 36.349 36.171 36.116 36.361 36.332 36.336 36.361 36.178 36.274 36.29 36.49 36.392 36.241 36.221 36.344 36.425 36.174 36.135 36.286 36.311 36.313 36.329 36.313 36.302 36.346 36.414 36.378 36.37 36.31 36.31 36.38 36.333 36.335 36.245 36.263 36.385 36.207 36.13 36.251 36.255 36.293 36.38 36.35 36.301 36.184 36.087 36.259 36.457 36.426 36.365 36.33 36.516 36.508 36.366 36.329 36.396 36.243 36.297 36.41 36.24 36.028 36.332 36.325 36.271 36.26 36.385 36.419 36.278 36.377 36.407 36.495 36.374 36.495 36.259 36.467 36.496 36.382 36.404 36.388 36.469 36.189 36.181 36.183 36.253 36.323 36.29 36.333 36.355 36.365 36.437 36.422 36.307 36.294 36.363 36.32
500 36.32 36.284 36.12 36.246 36.371 36.387 36.14 36.086 NA 36.208 36.177 36.364 36.38 36.11 36.185 36.115 NA 36.355 36.111 36.277 36.275 36.236 36.281 36.295 36.298 36.219 36.373 36.398 36.248 36.49 36.046 NA 36.278 36.25 36.281 36.24 36.135 36.297 36.311 36.169 36.188 36.307 36.448 36.196 36.09 36.292 36.322 36.207 36.345 36.166 36.086 36.267 36.337 36.344 36.361 36.279 36.215 36.151 36.311 36.296 36.035 36.136 36.181 36.272 36.522 36.388 36.241 36.287 36.204 36.16 36.423 36.259 36.175 36.249 36.255 36.354 36.412 36.319 36.332 36.434 36.502 36.3 36.334 36.529 36.453 36.361 36.333 36.273 36.272 36.211 36.282 36.364 36.358 36.277 36.181 36.346 36.435 36.417 36.224 36.196 36.231 36.308 36.438 36.353 36.341 36.365 36.399 36.562 36.318 36.526 36.341 36.262 36.296 36.354 36.296 36.254 36.262 36.29 36.394 36.322 36.259 36.217 35.969 36.335 36.297 36.36 36.221 36.28 36.149 36.236 36.343 36.338 36.367 36.354 36.39 36.338 36.307 36.197 36.381 36.298 36.379 36.352 36.333 36.357 36.234 36.3 36.212 36.181 36.225 36.083 36.306 36.349 36.418 36.242 36.44 36.425 36.293 36.484 36.332 36.269 36.421 36.443 36.482 36.352 36.389 36.414 36.383 36.409 36.405 36.356 36.354 36.199 36.252 36.327 36.144 36.085 36.344 36.311 36.315 36.34 36.157 36.25 36.266 36.473 36.371 36.215 36.197 36.323 36.402 36.139 36.103 36.261 36.291 36.288 36.305 36.295 36.278 36.309 36.39 36.342 36.349 36.283 36.283 36.355 36.308 36.307 36.219 36.238 36.357 36.177 36.102 36.221 36.222 36.261 36.355 36.325 36.269 36.149 36.052 36.232 36.437 36.407 36.33 36.255 36.526 36.493 36.342 36.289 36.358 36.207 36.269 36.384 36.212 35.994 36.303 36.287 36.274 36.233 36.354 36.402 36.253 36.346 36.382 36.482 36.337 36.467 36.212 36.452 36.483 36.361 36.395 36.364 36.472 36.163 36.116 36.153 36.232 36.293 36.263 36.334 36.321 36.344 36.431 36.404 36.282 36.264 36.334 36.297
510 36.286 36.246 36.085 36.222 36.361 36.378 36.11 36.054 NA 36.176 36.152 36.34 36.361 36.089 36.171 36.058 NA 36.344 36.085 36.258 36.254 36.206 36.257 36.27 36.274 36.191 36.35 36.38 36.22 36.474 36.008 NA 36.251 36.23 36.262 36.214 36.107 36.268 36.294 36.135 36.164 36.289 36.428 36.165 36.061 36.263 36.295 36.183 36.323 36.134 36.062 36.248 36.307 36.325 36.341 36.24 36.196 36.236 36.308 36.268 36.021 36.108 36.14 36.23 36.521 36.379 36.231 36.301 36.129 36.128 36.41 36.251 36.104 36.228 36.232 36.331 36.371 36.261 36.323 36.419 36.5 36.289 36.275 36.53 36.442 36.328 36.314 36.281 36.259 36.167 36.234 36.408 36.322 36.249 36.149 36.318 36.521 36.394 36.2 36.173 36.213 36.264 36.41 36.309 36.319 36.346 36.355 36.56 36.329 36.518 36.267 36.238 36.284 36.327 36.265 36.238 36.235 36.296 36.412 36.3 36.25 36.191 35.87 36.285 36.247 36.35 36.185 36.261 36.121 36.219 36.318 36.319 36.324 36.314 36.364 36.306 36.286 36.164 36.384 36.289 36.312 36.274 36.304 36.315 36.211 36.249 36.213 36.156 36.235 36.191 36.279 36.342 36.403 36.265 36.405 36.394 36.253 36.471 36.329 36.242 36.401 36.432 36.475 36.315 36.346 36.372 36.341 36.402 36.383 36.337 36.336 36.171 36.215 36.281 36.113 36.089 36.325 36.295 36.33 36.291 36.112 36.207 36.259 36.439 36.337 36.182 36.169 36.318 36.334 36.041 36.102 36.22 36.284 36.264 36.277 36.244 36.275 36.281 36.43 36.311 36.319 36.258 36.251 36.328 36.283 36.255 36.18 36.185 36.318 36.155 36.073 36.172 36.163 36.22 36.337 36.298 36.159 36.124 36.041 36.3 36.417 36.386 36.265 36.199 36.512 36.473 36.302 36.159 36.305 36.214 36.283 36.367 36.141 35.939 36.247 36.296 36.271 36.212 36.323 36.347 36.254 36.324 36.363 36.454 36.291 36.43 36.18 36.418 36.475 36.311 36.384 36.341 36.448 36.105 36.083 36.12 36.2 36.261 36.254 36.311 36.265 36.316 36.415 36.361 36.276 36.251 36.29 36.272
520 36.246 36.221 36.065 36.209 36.338 36.361 36.078 36.03 NA 36.149 36.119 36.319 36.347 36.047 36.15 36.016 NA 36.32 36.061 36.227 36.232 36.181 36.23 36.242 36.246 36.168 36.32 36.357 36.187 36.467 35.971 NA 36.222 36.21 36.236 36.186 36.08 36.241 36.277 36.103 36.146 36.266 36.407 36.144 36.034 36.243 36.276 36.157 36.295 36.091 36.033 36.23 36.268 36.298 36.331 36.205 36.177 36.213 36.285 36.243 35.994 36.08 36.118 36.217 36.513 36.352 36.208 36.272 36.108 36.101 36.383 36.227 36.082 36.192 36.209 36.308 36.35 36.244 36.297 36.395 36.497 36.255 36.246 36.524 36.399 36.314 36.3 36.267 36.231 36.146 36.208 36.361 36.289 36.223 36.123 36.289 36.517 36.373 36.173 36.124 36.195 36.232 36.392 36.279 36.284 36.322 36.337 36.555 36.31 36.512 36.251 36.209 36.263 36.304 36.24 36.218 36.206 36.27 36.392 36.275 36.207 36.163 35.845 36.263 36.218 36.335 36.163 36.234 36.084 36.191 36.296 36.292 36.294 36.281 36.348 36.279 36.273 36.14 36.361 36.265 36.289 36.242 36.281 36.303 36.187 36.223 36.187 36.134 36.202 36.162 36.252 36.318 36.377 36.241 36.39 36.342 36.215 36.466 36.309 36.186 36.388 36.429 36.473 36.295 36.328 36.353 36.314 36.39 36.36 36.304 36.307 36.154 36.182 36.254 36.082 36.056 36.293 36.267 36.303 36.272 36.081 36.191 36.218 36.42 36.322 36.165 36.146 36.288 36.298 36.013 36.07 36.192 36.258 36.245 36.252 36.217 36.247 36.255 36.408 36.29 36.298 36.234 36.228 36.295 36.26 36.228 36.145 36.158 36.294 36.135 36.041 36.141 36.135 36.199 36.306 36.267 36.123 36.096 36.008 36.282 36.394 36.362 36.223 36.164 36.495 36.456 36.27 36.123 36.276 36.17 36.247 36.342 36.115 35.905 36.221 36.288 36.273 36.191 36.294 36.313 36.216 36.29 36.318 36.437 36.252 36.407 36.153 36.4 36.457 36.285 36.364 36.311 36.438 36.078 36.053 36.087 36.174 36.23 36.221 36.294 36.225 36.283 36.393 36.343 36.249 36.228 36.26 36.246
530 36.21 36.185 36.037 36.184 36.316 36.344 36.038 36.008 NA 36.12 36.095 36.299 36.326 36.02 36.115 35.976 NA 36.315 36.036 36.207 36.206 36.159 36.2 36.215 36.217 36.143 36.294 36.324 36.164 36.45 35.932 NA 36.198 36.179 36.214 36.162 36.062 36.215 36.251 36.075 36.121 36.246 36.384 36.121 36.007 36.224 36.252 36.125 36.272 36.058 35.998 36.205 36.235 36.269 36.305 36.173 36.149 36.194 36.258 36.216 35.965 36.042 36.079 36.203 36.499 36.327 36.173 36.243 36.081 36.065 36.359 36.21 36.057 36.163 36.181 36.279 36.331 36.212 36.262 36.369 36.495 36.234 36.23 36.513 36.384 36.282 36.265 36.24 36.195 36.12 36.19 36.331 36.262 36.198 36.098 36.262 36.511 36.344 36.138 36.072 36.166 36.191 36.367 36.249 36.252 36.309 36.31 36.553 36.279 36.5 36.224 36.179 36.216 36.276 36.228 36.188 36.179 36.245 36.354 36.243 36.169 36.13 35.814 36.228 36.196 36.306 36.142 36.201 36.048 36.17 36.264 36.268 36.256 36.26 36.326 36.25 36.244 36.101 36.34 36.242 36.258 36.214 36.253 36.277 36.162 36.195 36.155 36.101 36.17 36.127 36.212 36.294 36.353 36.208 36.365 36.302 36.177 36.455 36.302 36.138 36.366 36.419 36.465 36.273 36.307 36.331 36.283 36.37 36.33 36.271 36.278 36.142 36.156 36.234 36.05 36.028 36.268 36.242 36.278 36.247 36.057 36.173 36.188 36.404 36.31 36.133 36.113 36.272 36.27 35.956 36.042 36.157 36.222 36.213 36.232 36.198 36.218 36.234 36.39 36.266 36.275 36.209 36.204 36.27 36.237 36.207 36.122 36.133 36.265 36.123 36.017 36.111 36.109 36.169 36.272 36.235 36.098 36.067 35.981 36.26 36.374 36.335 36.192 36.131 36.471 36.441 36.237 36.09 36.232 36.139 36.217 36.307 36.083 35.874 36.191 36.276 36.274 36.17 36.262 36.264 36.188 36.251 36.295 36.42 36.228 36.383 36.112 36.377 36.441 36.259 36.337 36.289 36.412 36.042 36.02 36.054 36.145 36.199 36.174 36.256 36.19 36.239 36.378 36.314 36.227 36.195 36.227 36.219
540 36.2 36.147 36.038 36.167 36.311 36.319 36.017 35.973 NA 36.087 36.055 36.275 36.282 35.98 36.069 35.937 NA 36.281 36.002 36.182 36.175 36.13 36.165 36.189 36.192 36.143 36.27 36.294 36.131 36.43 35.903 NA 36.174 36.147 36.195 36.133 36.041 36.192 36.23 36.081 36.093 36.223 36.359 36.097 35.971 36.196 36.226 36.102 36.241 36.047 35.994 36.179 36.211 36.246 36.257 36.159 36.115 36.166 36.226 36.182 35.92 36.007 36.047 36.174 36.49 36.291 36.135 36.223 36.037 36.029 36.332 36.174 36.026 36.121 36.193 36.245 36.305 36.189 36.249 36.346 36.494 36.211 36.197 36.507 36.364 36.219 36.22 36.212 36.161 36.099 36.186 36.283 36.162 36.172 36.062 36.227 36.505 36.326 36.115 36.035 36.137 36.158 36.338 36.22 36.229 36.272 36.272 36.541 36.253 36.49 36.219 36.148 36.18 36.225 36.23 36.164 36.145 36.188 36.323 36.21 36.159 36.172 35.779 36.21 36.223 36.22 36.165 36.175 36.063 36.11 36.23 36.252 36.255 36.261 36.284 36.269 36.214 36.141 36.313 36.216 36.222 36.179 36.222 36.253 36.095 36.169 36.128 36.06 36.049 35.979 36.191 36.245 36.335 36.171 36.316 36.348 36.077 36.437 36.312 36.151 36.317 36.416 36.463 36.247 36.276 36.31 36.304 36.38 36.307 36.186 36.24 36.117 36.123 36.204 36.001 35.998 36.216 36.212 36.21 36.238 36.053 36.131 36.159 36.388 36.204 36.107 36.085 36.192 36.277 35.974 35.921 36.129 36.186 36.189 36.233 36.201 36.18 36.203 36.331 36.189 36.217 36.179 36.178 36.23 36.225 36.188 36.085 36.098 36.237 36.103 35.98 36.098 36.078 36.127 36.246 36.155 36.066 36.027 35.901 36.136 36.349 36.313 36.144 36.186 36.446 36.381 36.132 36.007 36.222 36.121 36.163 36.274 36.083 35.81 36.153 36.268 36.205 36.136 36.242 36.245 36.141 36.21 36.257 36.399 36.227 36.361 36.086 36.368 36.379 36.264 36.315 36.257 36.354 36.048 36.005 36.022 36.111 36.158 36.138 36.102 36.191 36.208 36.363 36.292 36.17 36.156 36.16 36.189
550 36.172 36.092 36.046 36.138 36.317 36.293 35.994 35.94 NA 36.048 36.024 36.235 36.198 35.951 36.028 35.893 NA 36.24 35.98 36.161 36.141 36.106 36.138 36.159 36.167 36.13 36.234 36.264 36.099 36.415 35.864 NA 36.152 36.117 36.162 36.101 36.008 36.17 36.212 36.062 36.061 36.188 36.331 36.067 35.942 36.174 36.202 36.066 36.21 36.029 35.968 36.157 36.193 36.226 36.237 36.118 36.088 36.131 36.191 36.153 35.878 35.972 35.994 36.151 36.475 36.269 36.11 36.195 35.997 36.011 36.309 36.133 35.996 36.103 36.207 36.213 36.276 36.159 36.204 36.319 36.49 36.178 36.183 36.499 36.344 36.186 36.185 36.169 36.128 36.057 36.189 36.236 36.117 36.136 36.034 36.209 36.5 36.313 36.086 36.004 36.104 36.133 36.311 36.194 36.191 36.239 36.248 36.531 36.224 36.479 36.205 36.117 36.155 36.166 36.216 36.143 36.115 36.148 36.292 36.196 36.137 36.171 35.75 36.187 36.215 36.17 36.155 36.142 36.043 36.053 36.202 36.246 36.245 36.255 36.234 36.293 36.183 36.143 36.272 36.192 36.182 36.142 36.189 36.232 35.994 36.148 36.087 36.021 35.923 35.879 36.17 36.143 36.298 36.12 36.208 36.381 35.982 36.418 36.386 36.201 36.254 36.469 36.45 36.211 36.23 36.321 36.327 36.382 36.274 36.109 36.176 36.052 36.1 36.162 35.912 35.959 36.17 36.194 36.148 36.226 36.065 36.075 36.12 36.368 36.119 36.077 36.072 36.108 36.265 35.962 35.795 36.109 36.148 36.181 36.234 36.197 36.113 36.173 36.221 36.053 36.128 36.143 36.152 36.204 36.215 36.175 36.051 36.077 36.214 36.054 35.942 36.072 36.045 36.083 36.216 36.036 36.037 35.958 35.806 35.996 36.322 36.321 36.096 36.241 36.415 36.297 35.996 35.934 36.257 36.095 36.118 36.239 36.086 35.737 36.116 36.271 36.078 36.072 36.219 36.213 36.079 36.16 36.199 36.373 36.203 36.336 36.083 36.347 36.325 36.262 36.288 36.229 36.284 36.038 36.068 35.988 36.078 36.091 36.111 35.903 36.178 36.17 36.324 36.274 36.088 36.117 36.085 36.156
560 36.147 36.068 36.023 36.11 36.291 36.259 35.936 35.911 NA 36.03 35.991 36.213 36.165 35.913 36.003 35.86 NA 36.207 35.94 36.123 36.114 36.079 36.112 36.131 36.136 36.107 36.212 36.23 36.071 36.387 35.835 NA 36.126 36.089 36.133 36.072 35.98 36.153 36.193 36.034 36.03 36.162 36.308 36.041 35.911 36.151 36.18 36.032 36.182 36.006 35.926 36.129 36.16 36.191 36.209 36.089 36.062 36.108 36.162 36.118 35.847 35.932 35.96 36.142 36.457 36.239 36.082 36.172 35.963 35.976 36.274 36.104 35.956 36.084 36.149 36.187 36.246 36.121 36.176 36.289 36.486 36.153 36.17 36.487 36.321 36.162 36.171 36.124 36.088 36.038 36.157 36.223 36.085 36.12 36.01 36.178 36.486 36.299 36.047 35.969 36.077 36.116 36.284 36.168 36.167 36.216 36.216 36.513 36.186 36.463 36.181 36.097 36.121 36.14 36.196 36.118 36.089 36.119 36.255 36.169 36.114 36.149 35.736 36.166 36.191 36.147 36.118 36.101 36.018 36.029 36.166 36.221 36.213 36.227 36.209 36.268 36.16 36.121 36.254 36.163 36.153 36.12 36.169 36.208 35.961 36.124 36.049 35.992 35.896 35.855 36.139 36.117 36.27 36.082 36.168 36.328 35.945 36.393 36.373 36.17 36.219 36.463 36.451 36.178 36.191 36.293 36.304 36.361 36.248 36.066 36.141 36.034 36.069 36.131 35.871 35.927 36.146 36.165 36.124 36.197 36.033 36.043 36.087 36.34 36.092 36.051 36.047 36.082 36.245 35.921 35.763 36.073 36.117 36.145 36.202 36.175 36.087 36.135 36.201 36.015 36.101 36.121 36.13 36.181 36.189 36.146 36.025 36.049 36.186 36.027 35.913 36.039 36.015 36.056 36.187 36.002 35.996 35.923 35.781 35.95 36.291 36.297 36.059 36.216 36.388 36.264 35.96 35.905 36.228 36.06 36.086 36.206 36.055 35.71 36.081 36.274 36.045 36.042 36.184 36.176 36.04 36.13 36.168 36.344 36.17 36.307 36.04 36.304 36.279 36.239 36.257 36.196 36.259 36.006 36.03 35.947 36.047 36.058 36.06 35.862 36.15 36.111 36.288 36.243 36.055 36.078 36.047 36.127
